CUST_CODE	CUST_FNAME	CUST_LNAME	CUST_STREET	CUST_CITY	CUST_STATE	CUST_ZIP	CUST_BALANCE	INV_DATE	INV_TOTAL	EMPLOYEE_ID	INV_NUM	LINE_NUM	PROD_SKU	LINE_QTY	LINE_PRICE
101	LEONORA	FARRELL	2 EAST DOWLING ROAD	Reese	NC	28692	2949.67	41629	53.37	83964	3204	1	4153-VMO	3	17.79
102	EVA	KAISER	1084 LUNAR CIRCLE	Queen	PA	16670	1233.12	41505	105.24	83993	2026	3	7538-ITC	3	8.99
103	CORRINA	GIFFORD	1651 HIGHTOWER ROAD	Hampden	WV	25623	2122.07	41620	229.84	84306	3123	5	7532-PYJ	4	21.99
104	THAD	RUIZ	966 VALARIAN STREET	Pine	NY	12203	495.41	41589	43.18	83593	2820	1	5379-BLX	2	21.59
105	FRANCIS	TRUJILLO	1921 WEST 74TH AVENUE	Neelyton	PA	17239	2019.38	41396	245.38	83763	977	5	1045-DUY	4	6.59
106	MELONIE	JIMENEZ	848 DOWNEY FINCH LANE	East Monkton	VT	5443	1265.16	41485	153.26	84392	1826	5	2410-SKH	3	4.29
107	RAY	KEYES	303 TEEKOANA CIRCLE	Cliftonville	MS	39739	589.23	41407	126.93	84364	1086	3	4987-BFL	1	29.99
108	GONZALO	WHITNEY	1567 WALLACE MOUNTAIN ROAD	Crescent Beach	FL	34242	1123.4	41619	160.17	83565	3108	3	6041-PBS	5	7.49
109	SAL	STRATTON	985 OSTOVIA CIRCLE	Harts Store	NC	27022	0	41606	234.2	84334	2989	6	2200-DAI	3	7.59
110	CRISTINA	SOSA	904 PINNACLE CIRCLE	Cran Nav Dpo	IN	47522	0	41511	19.77	83906	2075	1	2366-EFV	3	6.59
111	JOSE	CASE	640 WEST 71ST COURT	Wyano	PA	15695	0	41597	99.95	83936	2899	2	6249-LYB	1	11.99
112	LAN	NICHOLS	367 LAKEVIEW DRIVE	Pittsburgh	PA	15262	4760.14	41580	380.82	84191	2727	6	7231-UES	5	23.99
113	KORY	GOULD	1949 HUMPHREY DRIVE	Cochecton	NY	12726	657.57	41408	35.96	84106	1095	1	7538-ITC	4	8.99
114	MIRIAN	DIAMOND	1432 POTTER GLEN CIRCLE	Nauvoo	PA	16938	0	41366	227.67	84392	685	6	3701-YAW	1	20.59
115	STACIE	SCHMITZ	704 WOODLAND DRIVE	Little Hocking	OH	45742	1989.53	41493	76.92	84392	1904	2	6596-HOO	5	9.99
116	STEPHAINE	MOSLEY	1372 LOREN CIRCLE	Saint Paris	OH	43072	749.61	41456	274.4	84219	1551	5	9955-WWB	3	29.99
117	KARON	MATA	1073 FERN CIRCLE	Bay State	MA	1060	3009.63	41649	483.05	84276	3399	6	5508-OUB	4	35.99
118	JESSE	HICKS	614 SOUTH AIRPARK DRIVE	Bay Head	NJ	8742	3058.55	41647	143.3	83705	3381	5	8543-RJN	1	21.99
119	MATTIE	VERNON	548 FALLING WATER DRIVE	Simsbury	CT	6092	1615.78	41430	35.99	84163	1304	1	3393-AZQ	1	35.99
120	BRADLEY	BRYAN	1153 TOBUK CIRCLE	Philadelphia	PA	19116	1230.92	41558	323.84	83734	2521	5	2351-WVS	1	29.99
121	PETER	SMALL	1904 GLENN NB OFF MULDOON SB RAMP	Methodist Mem Home	IN	46792	341.55	41596	32.95	84334	2892	1	8544-CIQ	5	6.59
122	JANNETTE	MCCARTHY	1450 ORCA PLACE	Millwood	GA	31552	1811.67	41519	283.46	84334	2148	5	3258-RVB	3	16.99
123	SHANTELL	DRAKE	1901 STERLING WAY	Quaker City	OH	43773	299.78	41317	47.96	84191	227	1	9324-PPG	4	11.99
124	LINDSAY	BARRERA	496 DEGAN STREET	Gray	KY	40734	0	41446	197.87	83677	1454	4	4949-VFI	4	8.49
125	FLORENTINO	ROJAS	1211 JESSE LEE COURT	Merrill	NY	12955	81.57	41435	271.85	83705	1353	5	4900-YSQ	5	4.59
126	DOLLY	MICHAEL	1359 SWEETWATER CIRCLE	Borden Shaft	MD	21532	3341.8	41614	636.21	83537	3058	5	2455-ZKN	3	38.99
127	CORRINA	DENNIS	1021 CARNABY WAY	Hartleyville	IN	47421	1039.74	41591	407.9	83677	2836	2	2857-NDO	5	32.99
128	REGGIE	CAREY	644 INNES CIRCLE	Harrisburg	PA	17128	2050.86	41441	105.16	84306	1403	2	9126-PWF	2	48.59
129	MANUEL	CARROLL	1768 ANCHOR PARK CIRCLE	Williston Park	NY	11596	866.75	41424	187.87	84078	1241	4	6651-ICK	5	11.99
130	REYES	MANUEL	1180 NIKITA DRIVE	Mount Ayr	IN	47964	1945.15	41585	94.95	83537	2781	1	1485-NNI	5	18.99
131	SAL	WHALEY	1715 ADAK CIRCLE	Montezuma	GA	31063	1397.44	41390	81.55	84078	912	2	2068-TSC	4	15.29
132	JANIS	DUBOIS	563 BENTREE CIRCLE	Reading	PA	19606	2015.62	41555	323.89	84364	2490	3	9484-UTK	5	17.99
133	RASHIDA	MEDINA	1440 ORCA STREET	Parks Crossroads	NC	27316	0	41486	77.98	83677	1835	1	2496-QMW	2	38.99
134	LES	SOLOMON	1815 BIRCHBARK AVENUE	Huntington	WV	25708	2442.72	41586	13.99	84163	2784	1	9268-RCB	1	13.99
135	CHRISTINE	CAMACHO	885 KILKERRY CIRCLE	Winding Gulf	WV	25908	1053.95	41594	133.94	83677	2872	2	5046-TTC	2	18.99
136	SID	WELSH	1932 CRISWELL CIRCLE	Edenton	NC	27932	2256.41	41460	349.43	83621	1581	6	4260-FGB	4	15.59
137	CONNIE	VELASQUEZ	1302 NORMANSHIRE COURT	Butlerville	IN	47223	604.69	41409	34.16	83705	1104	3	3343-DJU	2	7.79
138	MALIK	MORELAND	1807 FOREST PARK DRIVE	Foxborough	MA	2035	1339.61	41424	170.93	84106	1242	2	7500-ROG	4	23.99
139	LAVINA	CORNELL	137 BRIAR LOOP	New York	NY	10130	3099.1	41533	207.24	84276	2280	6	8544-CIQ	2	6.59
140	CHRISTOPER	OAKES	1719 NORMANSHIRE COURT	Greensboro	GA	30642	0	41651	97.93	83993	3414	2	2384-PGY	2	29.99
141	ART	ALVARADO	603 FINE ARTS LANE	Baltimore	MD	21214	780.09	41399	172.95	83734	1003	2	6894-JQV	3	48.59
142	DIAN	DUKE	1861 BRENDL WAY	Millers Tavern	VA	23115	0	41443	196.53	84248	1426	2	1663-CDD	2	23.29
143	MOHAMMED	RANKIN	13 LINDA JO CIRCLE	Fernandina Beach	FL	32035	810.87	41336	141.52	83621	401	3	1200-KBU	5	20.99
144	FRANCESCO	GOOD	1894 MOUNT KILIAK CIRCLE	Sea Bright	NJ	7760	0	41534	181.17	84364	2290	4	8382-HKN	3	11.99
145	GEORGIANNA	GIBBONS	55 GENEVA PLACE	Independence	WV	26374	0	41580	23.98	84163	2728	1	3943-HFA	2	11.99
146	JULIA	GREENBERG	1416 TALL SPRUCE DRIVE	Silver Spring	MD	20902	964.5	41476	446.8	83763	1745	6	1580-VCE	4	34.49
147	ZACHARIAH	CORREA	261 FISHER DRIVE	Bear Branch	KY	41714	1383.62	41436	216.57	84106	1356	4	6451-KGJ	3	6.99
148	MAYA	ELLIOT	1991 OAK KNOLL DRIVE	Porter	PA	17980	2421.49	41647	65.98	83565	3380	1	2766-EYO	2	32.99
149	LENARD	FARR	1311 CAPTAIN COOK DRIVE	Leetonia	PA	17727	0	41607	150.88	83820	2998	3	5587-PIP	4	10.99
150	AMY	CHO	1540 MARGE COURT	Paul	MS	38920	997.41	41494	75.95	83820	1915	2	7258-HCV	4	10.99
151	MARGUERITE	PUTNAM	427 SAN ROBERTO AVENUE	Cornish	NH	3745	1009.5	41395	53.55	84306	967	2	6596-HOO	4	9.99
152	LISETTE	WHITTAKER	339 NORTHPARK DRIVE	Montgomery	AL	36197	3322.63	41597	139.22	83677	2894	4	5980-BME	1	31.99
153	JEREMY	TOBIN	46 BARBOA CIRCLE	Walkertown	KY	41701	525.22	41399	114.95	83964	1000	3	5213-YTB	2	34.49
154	DORENE	WARD	1363 HEIDE DRIVE	Panola	SC	29125	1326.23	41603	69.95	84191	2958	1	5250-JDL	5	13.99
155	MARANDA	HINKLE	301 VALARIAN STREET	Lakin	WV	25250	0	41552	51.18	84163	2461	1	9857-ESX	2	25.59
156	JONAS	BARRERA	246 CARLINE CIRCLE	Princess House	NC	27094	602.18	41417	463.45	83649	1176	5	9671-NYZ	2	14.59
157	ROSALINE	BENSON	1590 NANTUCKET LOOP	Hancock	NH	3449	1708.86	41562	181.06	84106	2555	4	7258-HCV	4	10.99
158	SHANELL	KOEHLER	1051 PLATSEK DRIVE	Bayside Beach	MD	21122	905.78	41554	97.6	83792	2474	4	2584-CIJ	1	12.39
159	GRACE	SALTER	612 LORI DRIVE	Austerlitz	NY	12017	3667.46	41464	401.18	84276	1623	6	7224-FEU	3	43.99
160	JUDI	FISHER	1421 WELLSLEY COURT	Columbia	PA	17512	0	41391	306.17	83565	926	6	9288-IRF	5	14.59
161	HORTENCIA	HINKLE	1762 KNIK AVENUE	Dayton	OH	45454	837.11	41450	6.58	83850	1484	1	8937-WVA	2	3.29
162	LOUISA	REAGAN	784 LITTLE CAPE CIRCLE	West Neck	NY	11743	1221.04	41639	246.77	83621	3303	4	4812-VNN	3	12.99
163	MALISSA	ACEVEDO	159 BAXTER TERRACE CIRCLE	Britinay	MD	21234	839.09	41628	116.3	83621	3196	3	6626-ROK	2	13.59
164	MERLE	GUNTER	355 SEWARD SB OFF DIMOND RAMP	Lake Buena Vista	FL	32830	1325.97	41601	16.99	83621	2941	1	8170-EKF	1	16.99
165	MOHAMED	RAMSEY	1958 IRIS STREET	Lafayette	VA	24087	459.57	41407	188.7	83763	1091	4	4153-VMO	1	17.79
166	EARTHA	MONROE	1942 REVILLA CIRCLE	Centreville	MD	21617	1136.24	41624	376.61	84392	3158	5	7006-IXN	5	14.99
167	EVETTE	PERRY	986 LAMPERT CIRCLE	Capitol	VA	23207	124.75	41533	57.95	84306	2288	1	6925-KDN	5	11.59
168	WINIFRED	WOODWARD	594 QUEST CIRCLE	Prompton	PA	18456	2735.75	41487	502.94	84219	1843	6	7658-HCW	5	19.99
169	ROSS	LANG	1991 EASTWIND COURT	Higdon	AL	35979	1223.5	41592	177.31	84392	2851	2	3701-YAW	5	20.59
170	WILBER	MURPHY	901 GIDDEON CIRCLE	East Calais	VT	5640	3139.06	41468	392.87	84163	1661	4	1403-TUY	4	42.99
171	COREY	BURKETT	873 EAST 48TH AVENUE	Asher Glade	MD	21531	1258.93	41443	226.88	83537	1422	4	1200-KBU	3	20.99
172	DARREL	DWYER	1914 GLACIER LOOP ROAD	Savannah	GA	31401	15.28	41496	38.97	84392	1940	1	5653-RTU	3	12.99
173	INGRID	HARDY	479 WALDORF WOODS DRIVE	Enka Village	NC	28728	3509.31	41572	310.27	83850	2658	5	9126-PWF	3	48.59
174	DANIELA	MOON	1181 TOLSONA CIRCLE	Riley	IN	47871	684.82	41611	148.44	84334	3031	3	9484-UTK	4	17.99
175	DORCAS	DUNLAP	1157 BOWEN CIRCLE	Baton	NC	28630	1333.64	41500	360.96	83906	1976	4	2990-BNH	2	16.99
176	TRENTON	WINN	251 KIRBY PLACE	Mausdale	PA	17821	0	41526	138.22	84306	2220	4	1010-MIW	1	21.99
177	IGNACIO	HAGAN	1704 KALGIN STREET	Youngstown	OH	44599	0	41494	180.69	84049	1917	4	7231-UES	1	23.99
178	RHONDA	STROUD	95 SNOWBIRD DRIVE	Pgh	PA	15204	0	41619	87.55	84078	3106	2	2407-SUX	2	9.89
179	SEAN	MAYBERRY	943 WHITE BIRCH LANE	Toledo	OH	43603	3411.9	41462	89.93	83878	1601	2	3585-MCJ	5	12.99
180	KASSANDRA	OWENS	1173 SKOOKUM ROAD	Laurel Hollow	NY	11724	895.56	41544	285.59	84276	2383	6	5465-YYG	3	8.99
181	RICH	COKER	1156 RIDGELAKE CIRCLE	Fork	SC	29543	0	41626	229.91	84191	3174	2	7532-PYJ	5	21.99
182	NILA	VALENCIA	1709 CAMAI CIRCLE	Cold Spring Highland Heights	KY	41076	394.39	41504	311.39	83593	2012	4	1074-VVJ	2	23.29
183	AURORA	QUINONES	869 MORNING DRIVE	Putnam	VA	24260	691.34	41565	50.97	83792	2589	1	2990-BNH	3	16.99
184	DONG	MACIAS	265 SUNNY CIRCLE	Allred	TN	38542	443.37	41442	410.21	83537	1412	6	2129-BCP	4	7.99
185	IRVIN	SIZEMORE	1193 CHENA AVENUE	Rockville Center	NY	11571	3312.59	41468	259.1	84306	1662	3	2766-EYO	4	32.99
186	CARLTON	ROLAND	1067 CHUGIAK DRIVE	Audubon	NJ	8106	1672.7	41634	353.71	83705	3256	5	9838-FUF	2	29.99
187	DOTTIE	SEAY	1311 FALLOW CIRCLE	Vine Grove	KY	40175	0	41518	31.18	83763	2146	1	7260-YDI	2	15.59
188	LUANNE	GOODWIN	293 KIANA AVENUE	Pinegrove	AL	36507	1967.38	41497	202.41	83593	1951	6	2006-ZBH	2	10.99
189	DELFINA	MCWILLIAMS	1453 JESTERS CIRCLE	Newton	MA	2195	381.77	41549	418.92	83964	2438	6	8937-WVA	3	3.29
190	DELMER	GRUBBS	1497 KING ARTHUR CIRCLE	Silver Spring	MD	20908	383.81	41635	173.89	84420	3266	3	9336-MHC	5	11.99
191	SHIRLEY	SPRAGUE	621 BAIRD CIRCLE	Leicester	NC	28748	1233.64	41565	220.49	83820	2597	4	7006-IXN	3	14.99
192	PHILIP	GOFF	1683 GLENKERRY CIRCLE	Hinmans Corners	NY	13905	1401.09	41460	394.52	83763	1580	6	2134-QFE	1	15.89
193	LAVON	CALHOUN	4 KIRK AVENUE	Wissinoming	PA	19135	0	41528	56.36	84021	2240	2	7804-ZVW	1	15.59
194	JORGE	MILLER	1998 EAST PRINCE OF PEACE DRIVE	Brooklyn	NY	11230	1269.96	41564	385.87	83677	2584	3	1198-STR	5	23.59
195	SHERRYL	KEENAN	442 DOLLY AVENUE	Wallis Run	PA	17771	0	41563	166.9	83964	2574	5	2262-NBI	1	17.99
196	DULCE	RICHTER	45 CRETE STREET	Alexandria	VA	22306	645.52	41630	398.08	83993	3212	6	3701-YAW	5	20.59
197	XAVIER	CARDENAS	1756 GILL WAY	Colesville	MD	20914	3737.9	41466	342.64	83677	1644	6	2379-PCX	3	13.59
198	IOLA	ALEXANDER	859 RIL WAY	Clayton	MI	49235	1215.58	41558	325.88	84163	2514	4	5060-EDB	2	29.99
199	SHERMAN	OTT	351 REEF PLACE	Sacandaga	NY	12134	1096.65	41590	459.63	83820	2825	5	3716-WZD	5	36.99
200	ANITA	CONKLIN	1044 CORAL REEF PLACE	Newton	MA	2195	1098.52	41550	213.38	83565	2445	3	8909-SPD	5	15.79
201	IMELDA	FIGUEROA	1413 GALATEA DRIVE	Mccordsville	IN	46055	1525.1	41485	605.6	83878	1829	6	8894-LUR	2	13.99
202	SELINA	TANNER	1352 ATKINSON DRIVE	Largo	FL	34649	1111.92	41590	310.21	83906	2828	6	2231-OXK	4	7.59
203	NICKOLAS	STACY	1916 REGINA CIRCLE	South Royalston	MA	1331	915.36	41537	487.62	83993	2323	5	1838-LZI	5	12.59
204	TITUS	MCCLURE	439 EMERALD DRIVE	Diamond	NY	13659	202.06	41633	133.89	84078	3241	3	9268-RCB	4	13.99
205	VERA	CALLAHAN	797 NORTHERN RAVEN DRIVE	Apple Valley	OH	43028	839.7	41642	220.86	83734	3340	5	9133-OXA	1	19.99
206	DENNY	CHANDLER	547 DIMOND D CIRCLE	Smithfield	WV	26437	567.85	41522	111.95	83649	2177	3	5250-JDL	1	13.99
207	MARILYN	SMALLWOOD	1169 MEADOW STREET	Old Orchard	MD	21228	2939.47	41550	445.23	83878	2442	4	5642-IDA	5	29.99
208	VILMA	DENNY	1520 ABBOTT ROAD	Green Lane	PA	18054	0	41372	241.78	84334	745	6	6109-ZZO	1	32.89
209	SIDNEY	CARR	570 CANTERBURY WAY	Wallingford	CT	6493	1990.51	41518	344.62	83649	2144	5	6249-NDN	4	22.59
210	JANNETTE	HARMON	620 KILOANA CIRCLE	Cinda	KY	41728	0	41497	34.58	84248	1947	1	5659-BFS	2	17.29
211	GERALD	CAUDILL	1622 NORTH BLISS STREET	Oswegatchie	NY	13670	0	41606	286.47	83677	2990	4	2833-LIV	1	32.99
212	HANNAH	JARRETT	1589 WEST 43RD AVENUE	Twin Branch	WV	24889	0	41616	184.29	84163	3078	3	1747-XNI	4	3.99
213	SAMMY	GALLAGHER	206 EAGLE STREET	Clearwater	SC	29822	1326.92	41535	226.13	83993	2305	3	9126-PWF	1	48.59
214	ROSEANN	THORPE	472 OXBOW CIRCLE	Bangor	PA	18010	0	41600	149.95	83820	2924	1	4045-HUC	5	29.99
215	CHARMAINE	BRYAN	1181 LAURENCE COURT	Lake City	GA	30260	3453.84	41653	242.95	83705	3435	1	6894-JQV	5	48.59
216	CATHI	PUCKETT	654 KALKA CIRCLE	Laurel Bay	SC	29902	675.43	41514	458.38	84049	2107	6	6865-HAO	4	38.99
217	TYRON	HOLLINGSWORTH	1863 TRAIL STREET	Alafaya	FL	32834	1029.4	41607	27.18	83936	3000	1	2379-PCX	2	13.59
218	LUPE	SANTANA	1292 WEST 70TH PLACE	Phenix City	AL	36867	1355.29	41578	270.07	84392	2712	6	1663-CDD	2	23.29
219	CATHI	WHITEHEAD	760 WOODCLIFF DRIVE	Huntsville	AL	35893	259.61	41597	273.23	83537	2895	4	7355-WBT	5	13.59
220	ABRAHAM	PLATT	1859 GINGER LEE DRIVE	Sharpes	FL	32959	2187.26	41539	691.01	84334	2338	6	8207-YYG	5	34.49
221	DALTON	STAPLES	673 SUGAR CIRCLE	New Lancaster	IN	46036	282.02	41611	158.32	84364	3030	2	9484-UTK	4	17.99
222	DARELL	HAGAN	1066 GINGER LEE DRIVE	Hecla	PA	17960	795.1	41412	315.04	84219	1130	5	3258-RVB	4	16.99
223	ALPHA	OSBORN	1850 W STREET	Eldora	NJ	8270	357.75	41417	84.95	84364	1171	1	8170-EKF	5	16.99
224	REID	BURNETTE	486 DICKSON ROAD	Knightdale	NC	27545	0	41494	220.21	83537	1916	6	2366-EFV	2	6.59
225	CHRISTI	CLARK	546 ANSEL CIRCLE	Prompton	PA	18456	1532.26	41596	33.48	83565	2889	2	4667-JLN	1	3.49
226	SHELBY	SALAS	486 SUSITNA VIEW COURT	North Tisbury	MA	2568	0	41506	526.65	83705	2038	6	3955-NWD	2	23.99
227	KATIE	HEARN	1726 MERE CIRCLE	Cabin Creek	WV	25035	3760.96	41432	288.99	83677	1320	4	5445-XOY	1	10.99
228	JAUNITA	FOOTE	58 ATLANTIS AVENUE	Pitt	PA	15209	1282.45	41549	98.34	84219	2432	2	6626-ROK	4	13.59
229	ERNESTINE	LOZANO	17 BEN COURT	Putnam	MD	21050	1050.75	41467	305.09	84021	1652	5	3274-XJX	5	3.99
230	MARCIE	CHILDERS	936 UNIVERSITY LAKE DRIVE	Susan	VA	23163	1786.51	41402	190.69	83936	1035	6	2262-NBI	4	17.99
231	ALYCIA	PECK	680 LINCOLN ELLSWORTH COURT	Berkshire	MA	1224	1163.29	41400	222.06	83677	1016	5	1433-MMY	2	23.99
232	HOPE	DAVID	640 CASPER COURT	Ludington	OH	43730	435.8	41536	141.48	83537	2314	5	8310-LAC	3	11.99
233	KORI	GILMORE	581 SPRUCE STREET	Alna	ME	4535	0	41631	21.99	84364	3221	1	1504-LVK	1	21.99
234	PALMER	VERA	1516 HILAND ROAD	Jacksonville	VT	5342	205.25	41340	205.25	83734	436	4	9288-IRF	4	14.59
235	RUBY	RANKIN	1154 CONCORD LANE	Ridgeway	WV	25440	824.79	41651	27.98	83734	3417	1	8894-LUR	2	13.99
236	MASON	COLE	56 BIRCH RUN CIRCLE	Albany	NY	12244	0	41426	377.83	84219	1267	6	8439-KUP	3	17.99
237	HORTENSIA	KEYES	571 MARIA COURT	Port Byron	NY	13140	1118.62	41424	375.35	84306	1248	4	5060-EDB	1	29.99
238	ALVIN	MCLEOD	1168 BEULAH CIRCLE	Tampa	FL	33674	1000.86	41575	409.6	84334	2681	6	6350-UPP	2	12.49
239	MIMI	ONEAL	1760 DANNY CIRCLE	Lanham-Seabrook	MD	20703	572.15	41464	202.46	83621	1619	5	9064-IWN	3	7.59
240	ZONA	BARROW	1944 HIGHLAND RIDGE DRIVE	Lugoff	SC	29078	392.87	41431	49.15	84364	1311	2	3215-VIP	1	35.99
241	MOSES	LUNSFORD	185 COLUMBINE PLACE	Saltaire	NY	11706	0	41467	303.86	83677	1654	5	1021-MTI	2	62.99
242	SHELDON	HODGE	1517 PARKSIDE DRIVE	Tionesta	PA	16353	343.2	41373	149.76	83763	757	2	6488-MIG	3	43.99
243	ISREAL	NOLAN	1677 AURIGA WAY	Era	OH	43143	786.53	41579	569.62	83565	2720	6	7532-PYJ	1	21.99
244	XIOMARA	VASQUEZ	1962 MORNINGTIDE COURT	Jamboree	KY	41536	677.07	41516	29.99	84163	2126	1	9838-FUF	1	29.99
245	SHERRILL	YODER	882 NORM DRIVE	Warren	OH	44487	1914.74	41364	60.76	84021	672	2	2262-NBI	2	17.99
246	CATHARINE	ROBLES	815 CEDRUS CIRCLE	Montgomery	PA	17752	1320.32	41605	391.83	83936	2978	4	5155-YQL	5	38.99
247	ISABEL	HORN	1554 MACKAY STREET	Montgomery Fy	PA	17074	333.59	41371	289.63	84021	733	5	3528-GBV	4	7.49
248	ROXANNE	CONKLIN	228 NORTHPARK DRIVE	Argo Village	NY	11003	857.27	41582	288.71	83677	2740	3	3754-MAK	2	21.99
249	SAMMIE	DAHL	373 GREY WOLF CIRCLE	Showell	MD	21862	0	41622	352.36	83565	3142	5	6488-MIG	2	43.99
250	LONA	WILLARD	1521 CLARBERT COURT	Ettrick	VA	23803	284.02	41583	358.02	84049	2757	6	2932-PBS	5	13.59
251	CHRISTOPER	NGUYEN	972 KERRY LOOP	Copper Harbor	MI	49918	424.03	41449	340.78	83936	1478	6	1663-CDD	2	23.29
252	DANIELLA	GREENWOOD	546 GOLDEN SPRING CIRCLE	Christmas	MI	49862	284.47	41650	67.96	84334	3410	1	5734-BGX	4	16.99
253	NUMBERS	LOUIS	812 BUSINESS BOULEVARD	Delta	PA	17314	211.77	41372	159.9	83649	740	3	7006-IXN	4	14.99
254	IRA	FERGUSON	1787 KICHATNA CIRCLE	Herold	WV	26601	838.33	41391	66.15	84134	923	2	9688-ZUX	3	12.99
255	CHANDRA	WALLER	266 FOXRIDGE CIRCLE	Cleveland	OH	44123	0	41347	389.53	83621	506	6	2046-RUS	4	25.99
256	CRISTAL	OBRIEN	480 KUTCHER DRIVE	Arlington	VA	22206	669.96	41420	188.86	84078	1198	5	5445-XOY	4	10.99
257	DARLENE	OCONNOR	80 DICKSON ROAD	Union	OH	45322	0	41636	129.96	84306	3272	2	1504-LVK	1	21.99
258	THEODORA	MEJIA	448 SKI ROAD	Squirrel Hill	PA	15217	1935.91	41567	120.88	83792	2613	3	8382-HKN	4	11.99
259	SHELBY	STARK	370 ALDER DRIVE	Sissonville	WV	25320	610.39	41526	295.66	84248	2216	4	9858-XUM	3	14.59
260	MARLIN	GATES	511 GEMINI DRIVE	Loveland	OH	45140	0	41554	141.52	83792	2473	5	1010-MIW	1	21.99
261	AUBREY	YARBROUGH	1637 KELSAN CIRCLE	Florence Villa	FL	33880	839.15	41411	193.38	84021	1124	4	1580-VCE	1	34.49
262	PHYLISS	KAISER	1468 TERRACE HILLS DRIVE	Parkville	MD	21234	1088.22	41477	193.87	83593	1754	5	8894-LUR	1	13.99
263	KEELY	MURPHY	1765 GLENKERRY CIRCLE	Bovina	NY	13740	1090.32	41581	104.92	83820	2738	3	7179-YXG	1	12.99
264	LANA	PAYTON	596 JOYCE ROAD	Buckland	MA	1338	1000.64	41582	510.58	84049	2747	5	8053-PME	5	25.99
265	CLINT	ROBBINS	1610 BERN STREET	Mount Ulla	NC	28125	3340.93	41612	191.89	83763	3043	3	2397-RDX	3	15.59
266	MELODY	ARELLANO	837 C STREET	Duncansville	PA	16635	747.9	41364	346.83	83593	665	5	9569-WMK	4	13.59
267	FELECIA	KEYES	1269 ELLEN CIRCLE	Rootstown	OH	44272	328.78	41360	228.89	84078	630	3	1485-NNI	1	18.99
268	CARY	GALLOWAY	1222 CAMPBELL TERRACE DRIVE	Niagara	NY	14300	0	41348	362.61	84276	515	5	5529-SBL	3	15.59
269	JOSEPHINA	MAURER	1769 LOWER DEVILS END DRIVE	Arnoldtown	MD	21718	353.93	41425	125.72	83677	1257	2	6358-UST	3	18.59
270	TOSHA	CLEVELAND	244 SEWARD SB OFF DIMOND RAMP	Hartford	CT	6126	648.64	41404	391.8	83993	1059	6	5595-NYE	2	23.99
271	SUNG	MCBRIDE	608 CONSTITUTION CIRCLE	Sunnymede Woods	IN	46803	0	41435	218.32	84191	1351	3	4949-VFI	1	8.49
272	MORRIS	NICHOLS	1432 WEST 94TH COURT	Hartsfield	PA	16930	0	41546	311.85	83878	2403	5	1045-DUY	1	6.59
273	TAMARA	MAXWELL	420 ASKELAND DRIVE	Palmers Crossing	MS	39401	826.9	41593	17.99	84134	2854	1	2262-NBI	1	17.99
