EMP_NUM	EMP_FNAME	EMP_LNAME	EMP_EMAIL	EMP_PHONE	EMP_HIREDATE	EMP_TITLE	EMP_COMM	SAL_FROM	SAL_END	SAL_AMOUNT	DEPT_NUM	DEPT_NAME	DEPT_MAIL_BOX	DEPT_PHONE	SUPV_EMP_NUM
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	34316	34679	20520	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	33950	34315	19920	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	33584	33949	18110	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	33220	33584	16770	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	32856	33219	16280	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	32490	32855	15070	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	32124	32489	14630	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	31760	32124	14200	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	31396	31759	13520	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	31030	31395	13130	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	30664	31029	12500	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	30300	30664	12140	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	29936	30299	11790	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	29570	29935	11230	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	41250	41615	47440	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	40884	41249	45180	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	40520	40884	43030	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	40156	40519	39840	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	39790	40155	38680	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	39424	39789	37550	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	39060	39424	35760	250	CUSTOMER SERVICE	100	555-5555	84001
83312	ROSALBA	BAKER	R.BAKER9@LGCOMPANY.COM	632-8197	41255	ASSOCIATE	0	41621	 - 	42400	300	PURCHASING	222	555-4873	83746
83312	ROSALBA	BAKER	R.BAKER9@LGCOMPANY.COM	632-8197	41255	ASSOCIATE	0	41255	41620	39260	300	PURCHASING	222	555-4873	83746
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	41315	 - 	44750	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	40949	41314	41440	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	40585	40949	40230	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	40221	40584	39060	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	39855	40220	36170	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	39489	39854	35120	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	39125	39489	34100	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	38761	39124	33110	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	38395	38760	32150	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	38029	38394	29770	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	37665	38029	28350	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	37301	37664	27000	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	36935	37300	26210	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	36569	36934	24960	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	36205	36569	24230	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	35841	36204	23080	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	35475	35840	22410	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	35109	35474	21340	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	34745	35109	20320	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	34381	34744	19730	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	34015	34380	19160	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	33649	34014	18250	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	33285	33649	17720	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	32921	33284	17200	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	32555	32920	16380	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	32189	32554	15600	280	MARKETING	848	555-8500	84042
83314	CHAROLETTE	DAVID	C.DAVID84@LGCOMPANY.COM	726-5086	31825	ASSOCIATE	0	31825	32189	15150	280	MARKETING	848	555-8500	84042
83318	DARCIE	PECK	D.PECK4@LGCOMPANY.COM	680-6124	39205	FREIGHT STOCKER	0	41397	 - 	28500	500	DISTRIBUTION	348	555-3624	84052
83318	DARCIE	PECK	D.PECK4@LGCOMPANY.COM	680-6124	39205	FREIGHT STOCKER	0	41031	41396	27670	500	DISTRIBUTION	348	555-3624	84052
83318	DARCIE	PECK	D.PECK4@LGCOMPANY.COM	680-6124	39205	FREIGHT STOCKER	0	40665	41030	26860	500	DISTRIBUTION	348	555-3624	84052
83318	DARCIE	PECK	D.PECK4@LGCOMPANY.COM	680-6124	39205	FREIGHT STOCKER	0	40301	40665	24870	500	DISTRIBUTION	348	555-3624	84052
83318	DARCIE	PECK	D.PECK4@LGCOMPANY.COM	680-6124	39205	FREIGHT STOCKER	0	39937	40300	23690	500	DISTRIBUTION	348	555-3624	84052
83318	DARCIE	PECK	D.PECK4@LGCOMPANY.COM	680-6124	39205	FREIGHT STOCKER	0	39571	39936	23000	500	DISTRIBUTION	348	555-3624	84052
83318	DARCIE	PECK	D.PECK4@LGCOMPANY.COM	680-6124	39205	FREIGHT STOCKER	0	39205	39570	22330	500	DISTRIBUTION	348	555-3624	84052
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	41519	 - 	52200	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	41153	41518	50680	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	40787	41152	49200	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	40423	40787	44730	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	40059	40422	43430	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	39693	40058	42170	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	39327	39692	40160	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	38963	39327	38250	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	38599	38962	37140	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	38233	38598	36060	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	37867	38232	34340	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	37503	37867	33340	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	37139	37502	32370	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	36773	37138	29430	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	36407	36772	28570	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	36043	36407	26450	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	35679	36042	25680	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	35313	35678	24460	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	34947	35312	23300	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	34583	34947	22620	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	34219	34582	21960	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	33853	34218	20910	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	33487	33852	19360	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	33123	33487	18800	280	MARKETING	848	555-8500	84042
83321	ANGELINA	FARMER	A.FARMER86@LGCOMPANY.COM	734-7097	32759	BRAND ASSOCIATE	0	32759	33122	18250	280	MARKETING	848	555-8500	84042
83332	WILLARD	LONG	W.LONG1@LGCOMPANY.COM	242-1979	38054	BRAND ASSOCIATE	0	41340	 - 	34500	280	MARKETING	848	555-8500	84042
83332	WILLARD	LONG	W.LONG1@LGCOMPANY.COM	242-1979	38054	BRAND ASSOCIATE	0	40974	41339	33500	280	MARKETING	848	555-8500	84042
83332	WILLARD	LONG	W.LONG1@LGCOMPANY.COM	242-1979	38054	BRAND ASSOCIATE	0	40608	40973	31900	280	MARKETING	848	555-8500	84042
83332	WILLARD	LONG	W.LONG1@LGCOMPANY.COM	242-1979	38054	BRAND ASSOCIATE	0	40244	40608	30970	280	MARKETING	848	555-8500	84042
83332	WILLARD	LONG	W.LONG1@LGCOMPANY.COM	242-1979	38054	BRAND ASSOCIATE	0	39880	40243	30070	280	MARKETING	848	555-8500	84042
83332	WILLARD	LONG	W.LONG1@LGCOMPANY.COM	242-1979	38054	BRAND ASSOCIATE	0	39514	39879	27340	280	MARKETING	848	555-8500	84042
83332	WILLARD	LONG	W.LONG1@LGCOMPANY.COM	242-1979	38054	BRAND ASSOCIATE	0	39148	39513	26040	280	MARKETING	848	555-8500	84042
83332	WILLARD	LONG	W.LONG1@LGCOMPANY.COM	242-1979	38054	BRAND ASSOCIATE	0	38784	39148	24800	280	MARKETING	848	555-8500	84042
83332	WILLARD	LONG	W.LONG1@LGCOMPANY.COM	242-1979	38054	BRAND ASSOCIATE	0	38420	38783	24080	280	MARKETING	848	555-8500	84042
83332	WILLARD	LONG	W.LONG1@LGCOMPANY.COM	242-1979	38054	BRAND ASSOCIATE	0	38054	38419	23380	280	MARKETING	848	555-8500	84042
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	41478	 - 	43250	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	41112	41477	40050	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	40746	41111	38140	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	40382	40746	35310	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	40018	40381	33630	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	39652	40017	32650	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	39286	39651	31700	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	38922	39286	30190	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	38558	38921	29310	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	38192	38557	28460	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	37826	38191	27630	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	37462	37826	26310	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	37098	37461	25060	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	36732	37097	24330	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	36366	36731	22120	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	36002	36366	21480	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	35638	36001	20460	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	35272	35637	19860	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	34906	35271	19280	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	34542	34906	18720	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	34178	34541	17830	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	33812	34177	17310	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	33446	33811	16490	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	33082	33446	15700	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	32718	33081	14950	250	CUSTOMER SERVICE	100	555-5555	84001
83341	CHRISTINE	CORTEZ	C.CORTEZ85@LGCOMPANY.COM	508-3269	32352	ASSOCIATE	0	32352	32717	14510	250	CUSTOMER SERVICE	100	555-5555	84001
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	41504	 - 	60200	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	41138	41503	58450	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	40772	41137	55670	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	40408	40772	54050	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	40044	40407	51480	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	39678	40043	49030	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	39312	39677	47600	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	38948	39312	46210	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	38584	38947	42010	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	38218	38583	40790	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	37852	38217	38850	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	37488	37852	35320	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	37124	37487	32110	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	36758	37123	31170	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	36392	36757	30260	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	36028	36392	29380	500	DISTRIBUTION	348	555-3624	84052
83347	QUINTIN	WINN	Q.WINN82@LGCOMPANY.COM	653-6753	31284	SENIOR FREIGHTER	0	35664	36027	27980	500	DISTRIBUTION	348	555-3624	84052
